PassengerId,cooks_distance,threshold_4_over_n,exceeds_threshold
272,0.01648162495,0.004489337823,True
644,0.01463411196,0.004489337823,True
693,0.01463411196,0.004489337823,True
298,0.01394714656,0.004489337823,True
262,0.01364271028,0.004489337823,True
631,0.01182934652,0.004489337823,True
302,0.0113378514,0.004489337823,True
69,0.01066152697,0.004489337823,True
66,0.01025963131,0.004489337823,True
710,0.01025963131,0.004489337823,True
75,0.01005271133,0.004489337823,True
839,0.01005271133,0.004489337823,True
511,0.009981614965,0.004489337823,True
26,0.009388669118,0.004489337823,True
510,0.009149674016,0.004489337823,True
571,0.009046205683,0.004489337823,True
655,0.008997335389,0.004489337823,True
558,0.008863723822,0.004489337823,True
178,0.00862865148,0.004489337823,True
829,0.008565515162,0.004489337823,True
